dataset,model,method,loss,ls,mixup,augmix,accuracy,ece,adaece,classece,brier
otto,mlp,isotonic,cross_entropy,0.0,0.0,False,0.7831286360698125,0.030683519318699837,0.033203162,0.564541,0.28614330291748047
otto,mlp,bbq,cross_entropy,0.0,0.0,False,0.4334195216548158,0.02689731866121292,0.045766983,0.50212294,0.7022795081138611
otto,mlp,temperature,cross_entropy,0.1,0.0,False,0.7905623787976729,0.029236197471618652,0.029377595,0.6246426,0.2879387140274048
otto,mlp,platt,cross_entropy,0.1,0.0,False,0.7879767291531997,0.02137582376599312,0.024834607927732576,0.6744669623730049,0.2830788511326488
otto,mlp,isotonic,cross_entropy,0.1,0.0,False,0.7870071105365223,0.03172260895371437,0.028466633,0.6965646,0.28777968883514404
otto,mlp,bbq,cross_entropy,0.1,0.0,False,0.41952165481577247,0.02534591406583786,0.033968028,0.49589702,0.7235322594642639
otto,mlp,temperature,cross_entropy,0.0,0.2,False,0.7747252747252747,0.023356612771749496,0.027750721,0.61054564,0.3032741844654083
otto,mlp,platt,cross_entropy,0.0,0.2,False,0.7776341305753071,0.018576547503471375,0.01830512089216627,0.6315223108381425,0.29719964766551626
otto,mlp,isotonic,cross_entropy,0.0,0.2,False,0.7766645119586296,0.02750253491103649,0.021829333,0.65950716,0.30233320593833923
otto,mlp,bbq,cross_entropy,0.0,0.2,False,0.38687782805429866,0.023607756942510605,0.047949553,0.49490136,0.7471956014633179
otto,mlp,temperature,cross_entropy,0.0,0.0,True,0.78409825468649,0.01984396204352379,0.02145234,0.64428943,0.28368711471557617
otto,mlp,platt,cross_entropy,0.0,0.0,True,0.7844214608920491,0.02690001390874386,0.01947503840241225,0.6616576440511762,0.28064011228611707
otto,mlp,isotonic,cross_entropy,0.0,0.0,True,0.781835811247576,0.030640484765172005,0.026626872,0.6619545,0.28412848711013794
otto,mlp,bbq,cross_entropy,0.0,0.0,True,0.43374272786037493,0.027522100135684013,0.043180663,0.40628698,0.6957412958145142
otto,mlp,temperature,focal,0.0,0.0,False,0.7740788623141565,0.0639159306883812,0.06620573,0.6079136,0.3030196726322174
otto,mlp,platt,focal,0.0,0.0,False,0.7805429864253394,0.02585870958864689,0.024608654259222686,0.655534170050006,0.2924939010177284
otto,mlp,isotonic,focal,0.0,0.0,False,0.7769877181641888,0.02867788076400757,0.033638813,0.6323745,0.298552930355072
otto,mlp,bbq,focal,0.0,0.0,False,0.4246929541047188,0.02409514971077442,0.05435344,0.38109374,0.709253191947937
otto,mlp,temperature,focal,0.1,0.0,False,0.7756948933419522,0.06038900464773178,0.059141017,0.62067854,0.3076907992362976
otto,mlp,platt,focal,0.1,0.0,False,0.7782805429864253,0.027192717418074608,0.026939308969744964,0.6520507410653386,0.2912894282071098
otto,mlp,isotonic,focal,0.1,0.0,False,0.7776341305753071,0.031420059502124786,0.03379286,0.5567778,0.29454654455184937
otto,mlp,bbq,focal,0.1,0.0,False,0.42857142857142855,0.030299166217446327,0.047416784,0.44450006,0.7046108245849609
otto,mlp,temperature,focal,0.0,0.2,False,0.7776341305753071,0.06845797598361969,0.06366109,0.61308205,0.3071095049381256
otto,mlp,platt,focal,0.0,0.2,False,0.7805429864253394,0.018839074298739433,0.022525502162194948,0.6288624783929117,0.2956643287930464
otto,mlp,isotonic,focal,0.0,0.2,False,0.7786037491919845,0.019397664815187454,0.023103496,0.64443254,0.30184507369995117
otto,mlp,bbq,focal,0.0,0.2,False,0.36134453781512604,0.0146868247538805,0.03837871,0.43267673,0.7581650614738464
otto,mlp,temperature,focal,0.0,0.0,True,0.768584356819651,0.0761146992444992,0.07201308,0.5889438,0.3177071511745453
otto,mlp,platt,focal,0.0,0.0,True,0.7750484809308339,0.025168249383568764,0.025393363497206813,0.639907767752224,0.2986280929092291
otto,mlp,isotonic,focal,0.0,0.0,True,0.7740788623141565,0.028653327375650406,0.024717571,0.6414902,0.3076344430446625
otto,mlp,bbq,focal,0.0,0.0,True,0.4246929541047188,0.02526189014315605,0.03765706,0.40473777,0.7050596475601196
otto,mlp,temperature,dual_focal,0.0,0.0,False,0.770846800258565,0.05685050040483475,0.060132477,0.60349286,0.3091249465942383
otto,mlp,platt,dual_focal,0.0,0.0,False,0.7705235940530059,0.019909463822841644,0.01862184081295675,0.6155929033782966,0.2943849333306943
otto,mlp,isotonic,dual_focal,0.0,0.0,False,0.7747252747252747,0.02478872984647751,0.027193619,0.5132523,0.3041129410266876
otto,mlp,bbq,dual_focal,0.0,0.0,False,0.37718164188752423,0.022398877888917923,0.03270393,0.3584616,0.7438055872917175
otto,mlp,temperature,dual_focal,0.1,0.0,False,0.7692307692307693,0.06741569936275482,0.06778848,0.59049404,0.3215276300907135
otto,mlp,platt,dual_focal,0.1,0.0,False,0.7789269553975436,0.02601626142859459,0.01975437478136535,0.6426198571641752,0.2925520872375136
otto,mlp,isotonic,dual_focal,0.1,0.0,False,0.766321913380737,0.03368469700217247,0.034845985,0.53661186,0.3042175769805908
otto,mlp,bbq,dual_focal,0.1,0.0,False,0.4460245636716225,0.02084205485880375,0.03796468,0.46555883,0.6838873028755188
otto,mlp,temperature,dual_focal,0.0,0.2,False,0.7637362637362637,0.23626375198364258,0.23626372,0.3207237,0.47252747416496277
otto,mlp,platt,dual_focal,0.0,0.2,False,0.7756948933419522,0.012302225455641747,0.018446882874203284,0.6436332476774971,0.3017395848118489
otto,mlp,isotonic,dual_focal,0.0,0.2,False,0.764382676147382,0.027391033247113228,0.03164047,0.61387986,0.31596997380256653
otto,mlp,bbq,dual_focal,0.0,0.2,False,0.3755656108597285,0.020824719220399857,0.03597072,0.40435785,0.754809558391571
otto,mlp,temperature,dual_focal,0.0,0.0,True,0.7689075630252101,0.0687766894698143,0.068776675,0.6153017,0.3252476751804352
otto,mlp,platt,dual_focal,0.0,0.0,True,0.7789269553975436,0.015947600826621056,0.021809517023854714,0.6267718119998797,0.3003043170447679
otto,mlp,isotonic,dual_focal,0.0,0.0,True,0.7676147382029735,0.03312142565846443,0.032191034,0.61009157,0.31258532404899597
otto,mlp,bbq,dual_focal,0.0,0.0,True,0.3493859082094376,0.03324965387582779,0.044111013,0.40875807,0.7486782670021057
otto,mlp,temperature,bsce_gra,0.0,0.0,False,0.7747252747252747,0.08219893276691437,0.080462955,0.5951367,0.31189918518066406
